"","ID","circl_binary","circl_sum","reviews_binary","reviews_sum","canonisation_score","class"
"159","DER_RANGIERBAHNHOF_noWikiID",1,1,1,1,0.0255818179471078,"Review & Catalogue"
"160","DER_RAUBGRAF_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"161","DER_REBELL_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"162","DER_REDLICHE_MANN_AM_HOFE_noWikiID",0,0,0,0,0.0255818179471078,"No Review & No Catalogue"
"163","DER_ROLAND_VON_BERLIN_noWikiID",1,2,1,1,0.0205467828522686,"Review & Catalogue"
"164","DER_RUNENBERG_Q1196568",1,1,0,0,0.481513882543301,"No Review, Catalogue"
"165","DER_SADDUZAEER_VON_AMSTERDAM_noWikiID",0,0,0,0,0.0645339993923284,"No Review & No Catalogue"
"166","DER_SANDMANN_(HOFFMANN)_Q798227",1,2,1,1,0.848215508034503,"Review & Catalogue"
"167","DER_SATYR_MOPSUS_noWikiID",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"168","DER_SCHATZ_IM_SILBERSEE_Q249905",1,1,0,0,0.0560723413501725,"No Review, Catalogue"
"169","DER_SCHATZ_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"170","DER_SCHIMMELREITER_Q895730",1,1,1,2,0.827943039612669,"Review & Catalogue"
"171","DER_SCHMIED_SEINES_GLUECKS_noWikiID",1,2,0,0,0.274620702296579,"No Review, Catalogue"
"172","DER_SCHUEDDERUMP_Q1196819",1,1,1,1,0.119112826840361,"Review & Catalogue"
"173","DER_SCHUSS_VON_DER_KANZEL_Q1196769",1,1,0,0,0.0794735706665683,"No Review, Catalogue"
"174","DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE_noWikiID",0,0,0,0,0.0237824899093644,"No Review & No Catalogue"
"175","DER_SELBSTMOERDER_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"176","DER_SONNENWIRT_noWikiID",1,1,1,1,0.0205467828522686,"Review & Catalogue"
"177","DER_STECHLIN_(ROMAN)_Q1197130",1,1,1,1,0.904141522122553,"Review & Catalogue"
"178","DER_STERNSTEINHOF_noWikiID",1,1,1,2,0.0601640846066759,"Review & Catalogue"
"179","DER_TOD_ABELS_noWikiID",1,4,0,0,0.0255818179471078,"No Review, Catalogue"
"180","DER_TOD_GEORGS_noWikiID",1,1,0,0,0.0911257006455229,"No Review, Catalogue"
"181","DER_TOLLE_INVALIDE_AUF_DEM_FORT_RATONNEAU_Q1199666",0,0,0,0,0.0645339993923284,"No Review & No Catalogue"
"182","DER_TORSO_noWikiID",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"183","DER_TROTZKOPF_Q1197625",0,0,0,0,0.0255818179471078,"No Review & No Catalogue"
"184","DER_UEBERGANG_noWikiID",0,0,1,1,0.0221068485323305,"Review, No Catalogue"
"185","DER_UNTERTAN_Q476349",0,0,0,0,0.0318106268524673,"No Review & No Catalogue"
"186","DER_VERBRECHER_AUS_VERLORENER_EHRE_Q1197800",1,1,0,0,0.125932681512614,"No Review, Catalogue"
"187","DER_WALDBRUDER_Q1197891",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"188","DER_WALDBRUNNEN_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"189","DER_WASSERMENSCH_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"190","DER_WEG_INS_FREIE_Q700479",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"191","DER_WEHRWOLF_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"192","DER_WINTERGARTEN_noWikiID",0,0,0,0,0.0851189742374057,"No Review & No Catalogue"
"193","DER_ZAUBERRING_noWikiID",1,1,0,0,0.0601640846066759,"No Review, Catalogue"
"194","DER_ZWEIKAMPF_noWikiID",1,3,0,0,0.0560723413501725,"No Review, Catalogue"
"195","DES_DEUTSCHEN_SPIESSERS_WUNDERHORN_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"196","DES_LEBENS_UEBERFLUSS_Q1200453",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"197","DES_REICHES_KRONE_Q1200467",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"198","DES_VETTERS_ECKFENSTER_Q979343",1,1,0,0,0.274620702296579,"No Review, Catalogue"
"199","DEUTSCHE_PIONIERE_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"200","DEUTSCHER_ADEL_(WILHELM_RAABE)_Q1204575",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"201","DICHTER_UND_IHRE_GESELLEN_Q1209499",1,1,1,2,0.0975111340573339,"Review & Catalogue"
"202","DICHTERLEBEN_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"203","DIE_ABDERITEN_Q1210777",1,1,0,0,0.0741722353260478,"No Review, Catalogue"
"204","DIE_ABENTEUER_DER_SYLVESTERNACHT_noWikiID",1,3,0,0,0.259978377605495,"No Review, Catalogue"
"205","DIE_ABENTHEUER_DES_DON_SYLVIO_VON_ROSALVA_noWikiID",1,6,0,0,0.305392408053958,"No Review, Catalogue"
"206","DIE_AHNEN_Q42185371",1,1,0,0,0.0645339993923284,"No Review, Catalogue"
"207","DIE_AKTEN_DES_VOGELSANGS_Q1210969",1,1,0,0,0.462879594039226,"No Review, Catalogue"
"208","DIE_ANARCHISTEN_noWikiID",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"209","DIE_BARONIN_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"210","DIE_BEICHTE_noWikiID",1,1,0,0,0.0221068485323305,"No Review, Catalogue"
"211","DIE_BRAUTNACHT_noWikiID",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"212","DIE_CHINESISCHE_MAUER_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"213","DIE_CHRONIK_DER_SPERLINGSGASSE_Q1211874",1,2,0,0,0.425970768854918,"No Review, Catalogue"
