"","ID","circl_binary","circl_sum","reviews_binary","reviews_sum","canonisation_score","class"
"1","A_BELEAGUERED_CITY_noWikiID",1,1,0,0,0.0520374856859669,"No Review, Catalogue"
"2","A_CHILD_OF_THE_JAGO_Q4655860",1,1,1,1,0.158330619297716,"Review & Catalogue"
"3","A_CHRISTMAS_CAROL_Q62879",1,1,0,0,0.374053924716987,"No Review, Catalogue"
"4","A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION_Q4656050",0,0,0,0,0.117501066676145,"No Review & No Catalogue"
"5","A_CRYSTAL_AGE_Q4656205",1,1,0,0,0.11291791638611,"No Review, Catalogue"
"6","A_DARK_NIGHT'S_WORK_Q16385401",1,1,1,1,0.049863479389024,"Review & Catalogue"
"7","A_DRAMA_IN_MUSLIN_noWikiID",1,1,1,1,0.207211382680442,"Review & Catalogue"
"8","A_DREAM_OF_JOHN_BALL_noWikiID",1,1,0,0,0.117501066676145,"No Review, Catalogue"
"9","A_HOLIDAY_ROMANCE_noWikiID",0,0,0,0,0.122244604531682,"No Review & No Catalogue"
"10","A_HOUSE_TO_LET_Q4657430",0,0,0,0,0.0477757206414661,"No Review & No Catalogue"
"11","A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399",0,0,0,0,0.374053924716987,"No Review & No Catalogue"
"12","A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT_noWikiID",0,0,0,0,0.11291791638611,"No Review & No Catalogue"
"13","A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS_noWikiID",0,0,0,0,0.117501066676145,"No Review & No Catalogue"
"14","A_LAODICEAN_Q2105252",0,0,0,0,0.122244604531682,"No Review & No Catalogue"
"15","A_LEGEND_OF_MONTROSE_Q3549611",1,2,0,0,0.11291791638611,"No Review, Catalogue"
"16","A_LITTLE_PRINCESS_Q10483376",0,0,0,0,0.117501066676145,"No Review & No Catalogue"
"17","A_MERE_ACCIDENT_noWikiID",0,0,0,0,0.11291791638611,"No Review & No Catalogue"
"18","A_MODERN_UTOPIA_Q1249074",0,0,1,1,0.122244604531682,"Review, No Catalogue"
"19","A_MODEST_PROPOSAL_Q264143",0,0,0,0,0.172694745758032,"No Review & No Catalogue"
"20","A_PAIR_OF_BLUE_EYES_Q2931240",1,1,1,1,0.332981899154278,"Review & Catalogue"
"21","A_PATCH-WORK_SCREEN_FOR_THE_LADIES_noWikiID",0,0,0,0,0.137472234822425,"No Review & No Catalogue"
"22","A_POLITICAL_ROMANCE_Q4658949",1,1,0,0,0.122244604531682,"No Review, Catalogue"
"23","A_RIDE_ACROSS_PALESTINE_noWikiID",0,0,0,0,0.11291791638611,"No Review & No Catalogue"
"24","A_ROMANCE_OF_TWO_WORLDS_Q4659270",1,1,0,0,0.049863479389024,"No Review, Catalogue"
"25","A_ROOM_WITH_A_VIEW_Q120288",0,0,0,0,0.117501066676145,"No Review & No Catalogue"
"26","A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792",1,3,0,0,0.185923994154683,"No Review, Catalogue"
"27","A_SICILIAN_ROMANCE_Q979649",1,2,0,0,0.190637850864638,"No Review, Catalogue"
"28","A_SIMPLE_STORY_Q4659531",1,3,1,2,0.177146178958168,"Review & Catalogue"
"29","A_SON_OF_THE_SOIL_Q106040512",1,1,1,1,0.049863479389024,"Review & Catalogue"
"30","A_SPORTSMAN'S_SKETCHES_noWikiID",1,1,1,1,0.11291791638611,"Review & Catalogue"
"31","A_STORY_OF_THE_STONE_AGE_Q4659835",1,1,0,0,0.11291791638611,"No Review, Catalogue"
"32","A_STUDY_IN_SCARLET_Q223131",1,1,0,0,0.353247063375283,"No Review, Catalogue"
"33","A_TALE_OF_A_TUB_Q2353123",0,0,0,0,0.46129393099787,"No Review & No Catalogue"
"34","A_TALE_OF_TWO_CITIES_Q308918",1,2,0,0,0.517417033796863,"No Review, Catalogue"
"35","A_WINDOW_IN_THRUMS_noWikiID",1,1,1,1,0.11291791638611,"Review & Catalogue"
"36","A_WORLD_OF_GIRLS_noWikiID",1,1,0,0,0.049863479389024,"No Review, Catalogue"
"37","ACROSS_THE_ZODIAC_Q4676516",1,1,0,0,0.0477757206414661,"No Review, Catalogue"
"38","ACTIONS_AND_REACTIONS_noWikiID",0,0,0,0,0.117501066676145,"No Review & No Catalogue"
"39","ADAM_BEDE_Q2611046",1,2,1,1,0.733799591996489,"Review & Catalogue"
"40","ADELA_CATHCART_noWikiID",1,1,1,1,0.11291791638611,"Review & Catalogue"
"41","ADELINE_MOWBRAY_Q65083334",1,1,1,5,0.0520374856859669,"Review & Catalogue"
"42","ADVENTURES_OF_A_PINCUSHION_noWikiID",0,0,0,0,0.0477757206414661,"No Review & No Catalogue"
"43","AFTER_DARK_noWikiID",1,1,1,1,0.132226821715085,"Review & Catalogue"
"44","AFTER_LONDON;_OR,_WILD_ENGLAND_noWikiID",0,0,0,0,0.11291791638611,"No Review & No Catalogue"
"45","AGNES_GREY_Q517172",1,1,1,1,0.325982643945805,"Review & Catalogue"
"46","ALEC_FORBES_OF_HOWGLEN_noWikiID",1,2,1,1,0.11291791638611,"Review & Catalogue"
"47","ALICE'S_ADVENTURES_IN_WONDERLAND_Q92640",1,2,1,1,0.384640372733741,"Review & Catalogue"
"48","ALL_SORTS_AND_CONDITIONS_OF_MEN_noWikiID",1,1,0,0,0.0520374856859669,"No Review, Catalogue"
"49","ALLAN_QUATERMAIN_(NOVEL)_Q4062545",1,1,0,0,0.142891468333576,"No Review, Catalogue"
"50","ALMAYER'S_FOLLY_Q2404359",1,1,1,1,0.122244604531682,"Review & Catalogue"
"51","ALTON_LOCKE_Q4736895",1,2,1,1,0.148487553986026,"Review & Catalogue"
"52","AMY_FOSTER_Q4749187",0,0,0,0,0.11291791638611,"No Review & No Catalogue"
"53","AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS_Q2743569",0,0,0,0,0.137472234822425,"No Review & No Catalogue"
"54","AN_IRISH_COUSIN_noWikiID",1,1,1,1,0.0543008598413405,"Review & Catalogue"
"55","AN_OUTCAST_OF_THE_ISLANDS_Q1090444",1,1,0,0,0.11291791638611,"No Review, Catalogue"
"56","ANN_VERONICA_Q1247736",0,0,1,1,0.160221548263055,"Review, No Catalogue"
"57","ANNA_ST_IVES_noWikiID",1,3,1,2,0.122244604531682,"Review & Catalogue"
"58","ANNALS_OF_THE_PARISH_Q4767877",1,2,1,1,0.172694745758032,"Review & Catalogue"
"59","ANTAR_noWikiID",0,0,0,0,0.0477757206414661,"No Review & No Catalogue"
"60","ARMADALE_Q4792516",1,2,1,1,0.395337204568379,"Review & Catalogue"
"61","ARTHUR_MERVYN_Q4799713",1,1,1,1,0.0477757206414661,"Review & Catalogue"
"62","AT_THE_BACK_OF_THE_NORTH_WIND_Q1619593",1,2,1,1,0.137472234822425,"Review & Catalogue"
"63","AT_THE_END_OF_THE_PASSAGE_noWikiID",0,0,0,0,0.117501066676145,"No Review & No Catalogue"
"64","AULD_LICHT_IDYLLS_noWikiID",0,0,1,1,0.117501066676145,"Review, No Catalogue"
"65","AURORA_FLOYD_Q4822530",1,2,1,1,0.316181109886472,"Review & Catalogue"
