,Year,Score Range,mean,std
0,-50,Low (0-0.25),0.6438465895816659,0.12416042630044902
1,-50,Mid-Low (0.25-0.5),0.6822210254697582,0.0959849882957194
2,-50,Mid-High (0.5-0.75),0.6971735525034558,0.08238837835927038
3,-50,High (0.75-1.0),0.6799823070234925,0.08667643983131879
4,-49,Low (0-0.25),0.6459811193623366,0.1235947152770347
5,-49,Mid-Low (0.25-0.5),0.6851329321887865,0.09676310743681565
6,-49,Mid-High (0.5-0.75),0.6985903739037627,0.08076173207413298
7,-49,High (0.75-1.0),0.6819567767961718,0.07414339062794238
8,-48,Low (0-0.25),0.646746856677091,0.12574027304113547
9,-48,Mid-Low (0.25-0.5),0.6888074749957559,0.09832583305392395
10,-48,Mid-High (0.5-0.75),0.6960859213254782,0.08189827419448699
11,-48,High (0.75-1.0),0.6827251461176709,0.07701017503995446
12,-47,Low (0-0.25),0.6488448076116193,0.12577386926322562
13,-47,Mid-Low (0.25-0.5),0.688300929305014,0.10179425473881422
14,-47,Mid-High (0.5-0.75),0.700253323706645,0.08503168665838755
15,-47,High (0.75-1.0),0.6809773197250524,0.07790962068621053
16,-46,Low (0-0.25),0.65013416787721,0.12581297661129306
17,-46,Mid-Low (0.25-0.5),0.6915906167125679,0.10313525161122702
18,-46,Mid-High (0.5-0.75),0.6994836089601908,0.08550126769491212
19,-46,High (0.75-1.0),0.6834439071376667,0.07459292663342822
20,-45,Low (0-0.25),0.6531483216371313,0.1249554792682698
21,-45,Mid-Low (0.25-0.5),0.6930262652120529,0.10018409156096647
22,-45,Mid-High (0.5-0.75),0.7031604086145407,0.090159774269949
23,-45,High (0.75-1.0),0.685045183669776,0.07903863874759744
24,-44,Low (0-0.25),0.6556458300918612,0.12547811652246654
25,-44,Mid-Low (0.25-0.5),0.6971938119358703,0.1035747074172736
26,-44,Mid-High (0.5-0.75),0.7071713542759368,0.08877088505739139
27,-44,High (0.75-1.0),0.6848956440321694,0.07785979761770688
28,-43,Low (0-0.25),0.65762136454461,0.12604455217005467
29,-43,Mid-Low (0.25-0.5),0.7025408488148444,0.10641017336696681
30,-43,Mid-High (0.5-0.75),0.707353053474666,0.09089002793530998
31,-43,High (0.75-1.0),0.6822521208826624,0.07383200687479625
32,-42,Low (0-0.25),0.6610586550371192,0.125294656274708
33,-42,Mid-Low (0.25-0.5),0.7039642587318429,0.10669139931687319
34,-42,Mid-High (0.5-0.75),0.719330241433848,0.07920543749220582
35,-42,High (0.75-1.0),0.6852293032949642,0.07189847292511377
36,-41,Low (0-0.25),0.6640529254700451,0.12439714330477479
37,-41,Mid-Low (0.25-0.5),0.7086218805275061,0.10102238380920836
38,-41,Mid-High (0.5-0.75),0.7198199761530072,0.07980665390357167
39,-41,High (0.75-1.0),0.7011596707520924,0.07051318000165893
40,-40,Low (0-0.25),0.6651417138039482,0.1250008906860703
41,-40,Mid-Low (0.25-0.5),0.7123861766035774,0.10078906553085619
42,-40,Mid-High (0.5-0.75),0.7181892124966763,0.08027380979826015
43,-40,High (0.75-1.0),0.6956968319667618,0.07041059157427014
44,-39,Low (0-0.25),0.6671028459001859,0.12461161055421195
45,-39,Mid-Low (0.25-0.5),0.712397233251708,0.09992063721143055
46,-39,Mid-High (0.5-0.75),0.7246147752573968,0.07860724020295512
47,-39,High (0.75-1.0),0.6972152991176542,0.07463403951299626
48,-38,Low (0-0.25),0.6696032062859253,0.1244733243716604
49,-38,Mid-Low (0.25-0.5),0.7128005321271943,0.10177091973562678
50,-38,Mid-High (0.5-0.75),0.7260834794494303,0.07717844679223479
51,-38,High (0.75-1.0),0.6899711847503062,0.07996936743916513
52,-37,Low (0-0.25),0.6727850818384621,0.12474602007284642
53,-37,Mid-Low (0.25-0.5),0.713626033098557,0.10386795006973386
54,-37,Mid-High (0.5-0.75),0.7161941757618481,0.09201041827770515
55,-37,High (0.75-1.0),0.6868366663892223,0.0791652499819414
56,-36,Low (0-0.25),0.6755612122893889,0.12255615301372913
57,-36,Mid-Low (0.25-0.5),0.7142799179881063,0.10137931743767718
58,-36,Mid-High (0.5-0.75),0.7147093109282178,0.09542742504875186
59,-36,High (0.75-1.0),0.6875568375918448,0.08364801930167866
60,-35,Low (0-0.25),0.6776901270723907,0.12548640364255878
61,-35,Mid-Low (0.25-0.5),0.7196229196796212,0.09819820709680775
62,-35,Mid-High (0.5-0.75),0.7291311660766588,0.07599266250644056
63,-35,High (0.75-1.0),0.6836406812464573,0.07873008073869321
64,-34,Low (0-0.25),0.6792842786466625,0.12586472574900512
65,-34,Mid-Low (0.25-0.5),0.7225202684853667,0.09643230751382667
66,-34,Mid-High (0.5-0.75),0.7301374429690928,0.08172006545211521
67,-34,High (0.75-1.0),0.6817606206243646,0.08040858432307424
68,-33,Low (0-0.25),0.6840939179416762,0.12484301201751143
69,-33,Mid-Low (0.25-0.5),0.7259029237006008,0.09786741928509961
70,-33,Mid-High (0.5-0.75),0.732698478250258,0.08511276126105445
71,-33,High (0.75-1.0),0.6878124483391703,0.07962497197801664
72,-32,Low (0-0.25),0.6849296003865716,0.12547748319926663
73,-32,Mid-Low (0.25-0.5),0.7272941818425586,0.09912445667233238
74,-32,Mid-High (0.5-0.75),0.7374454962351887,0.08185535409182247
75,-32,High (0.75-1.0),0.6876244388536973,0.09206392637120489
76,-31,Low (0-0.25),0.686429655671925,0.1261716849572292
77,-31,Mid-Low (0.25-0.5),0.732838539038336,0.0991006231041224
78,-31,Mid-High (0.5-0.75),0.7382286157784833,0.0833271621164524
79,-31,High (0.75-1.0),0.6826314856949222,0.09086302386361216
80,-30,Low (0-0.25),0.6893994971028317,0.1264715848206947
81,-30,Mid-Low (0.25-0.5),0.7382983870235622,0.09815788890806353
