,Year,Score Range,mean,std
0,-50,Low (0-0.25),0.6847579404876047,0.1391817121569028
1,-50,Mid (0.25-0.75),0.6078495099544826,0.15322365980250657
2,-50,High (0.75-1.0),0.6756741271444304,0.1370618297142668
3,-49,Low (0-0.25),0.6874730233928934,0.13898991776557834
4,-49,Mid (0.25-0.75),0.6107402524889733,0.15739997871594083
5,-49,High (0.75-1.0),0.6989946216633626,0.14876188035184992
6,-48,Low (0-0.25),0.6896742633877208,0.1401095392374028
7,-48,Mid (0.25-0.75),0.6216664767337642,0.15233446684930077
8,-48,High (0.75-1.0),0.7017527989127532,0.17032305773518897
9,-47,Low (0-0.25),0.6929899165944341,0.1370700566675076
10,-47,Mid (0.25-0.75),0.6219486334619624,0.15542430416007078
11,-47,High (0.75-1.0),0.7001195644459953,0.18943525650587814
12,-46,Low (0-0.25),0.6958542442994113,0.1348114835767616
13,-46,Mid (0.25-0.75),0.6202419783142005,0.16386877243427972
14,-46,High (0.75-1.0),0.7066429976898847,0.18740581547346644
15,-45,Low (0-0.25),0.6990439156191292,0.13378603854669704
16,-45,Mid (0.25-0.75),0.6282916708067116,0.16102402469687827
17,-45,High (0.75-1.0),0.709843331547237,0.18252647385472875
18,-44,Low (0-0.25),0.7022248445850022,0.13226792057795658
19,-44,Mid (0.25-0.75),0.6323711864222726,0.16176009400931962
20,-44,High (0.75-1.0),0.7237213864683946,0.16311823241386936
21,-43,Low (0-0.25),0.706721652990976,0.13123048407911886
22,-43,Mid (0.25-0.75),0.6407691160085609,0.15138839161084547
23,-43,High (0.75-1.0),0.7225328997619082,0.16101757809867517
24,-42,Low (0-0.25),0.7081391834009876,0.13309207466108464
25,-42,Mid (0.25-0.75),0.6493291376332094,0.13773059872471138
26,-42,High (0.75-1.0),0.7234358004353688,0.15398709132451618
27,-41,Low (0-0.25),0.7117524646167251,0.1306366511434876
28,-41,Mid (0.25-0.75),0.6506010371520602,0.14034247478999698
29,-41,High (0.75-1.0),0.715259295572173,0.15416347026186683
30,-40,Low (0-0.25),0.7141210536711982,0.12962747181578316
31,-40,Mid (0.25-0.75),0.6532898359312005,0.14238978506487088
32,-40,High (0.75-1.0),0.7058931243783206,0.14828330353785385
33,-39,Low (0-0.25),0.7182262900337641,0.12740176990480542
34,-39,Mid (0.25-0.75),0.6647924189291906,0.13121389900593916
35,-39,High (0.75-1.0),0.6889478149848406,0.1652637525103506
36,-38,Low (0-0.25),0.720875335038199,0.12605332747377984
37,-38,Mid (0.25-0.75),0.6678701792700347,0.12425208202940781
38,-38,High (0.75-1.0),0.7135329498967764,0.12423831806422089
39,-37,Low (0-0.25),0.7224929474837429,0.12661552317487926
40,-37,Mid (0.25-0.75),0.674395522095733,0.11952726970849574
41,-37,High (0.75-1.0),0.7106908671788774,0.12115210979116646
42,-36,Low (0-0.25),0.7245568979073921,0.12977385028878943
43,-36,Mid (0.25-0.75),0.6803814598979018,0.11460050035208032
44,-36,High (0.75-1.0),0.7147438395609218,0.1116855475777811
45,-35,Low (0-0.25),0.7268741903813023,0.1271327986601905
46,-35,Mid (0.25-0.75),0.680658279382148,0.11285462712798153
47,-35,High (0.75-1.0),0.713311346604953,0.10562877197287328
48,-34,Low (0-0.25),0.7262379357377277,0.1282453905297285
49,-34,Mid (0.25-0.75),0.6800078631340107,0.11267172840083606
50,-34,High (0.75-1.0),0.7142633027611119,0.10486017378306624
51,-33,Low (0-0.25),0.7271206367178161,0.13040115514074213
52,-33,Mid (0.25-0.75),0.680275756979809,0.11401380384533417
53,-33,High (0.75-1.0),0.7213720818524434,0.10482021032438567
54,-32,Low (0-0.25),0.7310991557394803,0.12520431921454708
55,-32,Mid (0.25-0.75),0.6801354596972412,0.11717117651193491
56,-32,High (0.75-1.0),0.7193016007496388,0.10192206038814
57,-31,Low (0-0.25),0.7342259667549316,0.12474921023894443
58,-31,Mid (0.25-0.75),0.6832882686172107,0.11280481846953781
59,-31,High (0.75-1.0),0.7117833085824375,0.11183501929732154
60,-30,Low (0-0.25),0.7367826692869041,0.1223960412120839
61,-30,Mid (0.25-0.75),0.6810610969357623,0.11474064115905595
62,-30,High (0.75-1.0),0.701898483012242,0.1360446696944849
63,-29,Low (0-0.25),0.737410168829946,0.12410789641337343
64,-29,Mid (0.25-0.75),0.6763325095682157,0.118081927149977
65,-29,High (0.75-1.0),0.7223777975567546,0.09166499451420805
66,-28,Low (0-0.25),0.7395638172074289,0.12144172233203852
67,-28,Mid (0.25-0.75),0.6773417627244406,0.12065337896316382
68,-28,High (0.75-1.0),0.7296913822175015,0.07885177670895525
69,-27,Low (0-0.25),0.7407115774843602,0.11973818834202096
70,-27,Mid (0.25-0.75),0.6808529465058386,0.11923829711618629
71,-27,High (0.75-1.0),0.7253176930408731,0.07531234814886241
72,-26,Low (0-0.25),0.7431603417970643,0.11755334562257094
73,-26,Mid (0.25-0.75),0.6814280643120514,0.11461463632954731
74,-26,High (0.75-1.0),0.7297057071797844,0.07717909395522402
75,-25,Low (0-0.25),0.7439138382467607,0.11881573555965814
76,-25,Mid (0.25-0.75),0.6874928426113606,0.11379145484855391
77,-25,High (0.75-1.0),0.7450378408973299,0.08040213031230664
78,-24,Low (0-0.25),0.7461911971346502,0.12011670012226303
79,-24,Mid (0.25-0.75),0.6905616099842626,0.11317340763546269
80,-24,High (0.75-1.0),0.7579470544700128,0.08859373369732951
