,Year,Score Range,mean,std
0,-50,Low (0-0.25),0.6438465895816659,0.12416042630044902
1,-50,Mid (0.25-0.75),0.6860410141280021,0.09263851819831831
2,-50,High (0.75-1.0),0.6799823070234925,0.08667643983131879
3,-49,Low (0-0.25),0.6459811193623366,0.1235947152770347
4,-49,Mid (0.25-0.75),0.6885709647437074,0.09283745251070892
5,-49,High (0.75-1.0),0.6819567767961718,0.07414339062794238
6,-48,Low (0-0.25),0.646746856677091,0.12574027304113547
7,-48,Mid (0.25-0.75),0.6906669320872909,0.09416406624435779
8,-48,High (0.75-1.0),0.6827251461176709,0.07701017503995446
9,-47,Low (0-0.25),0.6488448076116193,0.12577386926322562
10,-47,Mid (0.25-0.75),0.691354460721489,0.09762341278020711
11,-47,High (0.75-1.0),0.6809773197250524,0.07790962068621053
12,-46,Low (0-0.25),0.65013416787721,0.12581297661129306
13,-46,Mid (0.25-0.75),0.6936070745860482,0.09868637874071184
14,-46,High (0.75-1.0),0.6834439071376667,0.07459292663342822
15,-45,Low (0-0.25),0.6531483216371313,0.1249554792682698
16,-45,Mid (0.25-0.75),0.6956152799499148,0.09749724650806879
17,-45,High (0.75-1.0),0.685045183669776,0.07903863874759744
18,-44,Low (0-0.25),0.6556458300918612,0.12547811652246654
19,-44,Mid (0.25-0.75),0.6997428191030406,0.099780017272301
20,-44,High (0.75-1.0),0.6848956440321694,0.07785979761770688
21,-43,Low (0-0.25),0.65762136454461,0.12604455217005467
22,-43,Mid (0.25-0.75),0.7037702441658937,0.10236587246738925
23,-43,High (0.75-1.0),0.6822521208826624,0.07383200687479625
24,-42,Low (0-0.25),0.6610586550371192,0.125294656274708
25,-42,Mid (0.25-0.75),0.7078898747506034,0.10033547791073558
26,-42,High (0.75-1.0),0.6852293032949642,0.07189847292511377
27,-41,Low (0-0.25),0.6640529254700451,0.12439714330477479
28,-41,Mid (0.25-0.75),0.7114827078770866,0.09589266544005572
29,-41,High (0.75-1.0),0.7011596707520924,0.07051318000165893
30,-40,Low (0-0.25),0.6651417138039482,0.1250008906860703
31,-40,Mid (0.25-0.75),0.7138687040215225,0.09571601706251374
32,-40,High (0.75-1.0),0.6956968319667618,0.07041059157427014
33,-39,Low (0-0.25),0.6671028459001859,0.12461161055421195
34,-39,Mid (0.25-0.75),0.7155185031071759,0.09480539433343994
35,-39,High (0.75-1.0),0.6972152991176542,0.07463403951299626
36,-38,Low (0-0.25),0.6696032062859253,0.1244733243716604
37,-38,Mid (0.25-0.75),0.716193985822656,0.09599358194551631
38,-38,High (0.75-1.0),0.6899711847503062,0.07996936743916513
39,-37,Low (0-0.25),0.6727850818384621,0.12474602007284642
40,-37,Mid (0.25-0.75),0.7142821279395437,0.10064705005253713
41,-37,High (0.75-1.0),0.6868366663892223,0.0791652499819414
42,-36,Low (0-0.25),0.6755612122893889,0.12255615301372913
43,-36,Mid (0.25-0.75),0.7143919335377006,0.09951646026352429
44,-36,High (0.75-1.0),0.6875568375918448,0.08364801930167866
45,-35,Low (0-0.25),0.6776901270723907,0.12548640364255878
46,-35,Mid (0.25-0.75),0.7221033317831962,0.09274634774252091
47,-35,High (0.75-1.0),0.6836406812464573,0.07873008073869321
48,-34,Low (0-0.25),0.6792842786466625,0.12586472574900512
