,Year,Score Range,mean,std
0,-50,Low (0-0.5),0.6713449935483783,0.14390022731283822
1,-50,High (0.5-1.0),0.6414240851401272,0.16075238777605838
2,-49,Low (0-0.5),0.6743997768719197,0.14420598348171398
3,-49,High (0.5-1.0),0.6488645986913049,0.17380286344875798
4,-48,Low (0-0.5),0.6778208092191073,0.14373956542587216
5,-48,High (0.5-1.0),0.6609622397684459,0.17720820293479292
6,-47,Low (0-0.5),0.6803335442492572,0.142047224161561
7,-47,High (0.5-1.0),0.6650739185622934,0.18825483534525245
8,-46,Low (0-0.5),0.6821918480223151,0.14274833117715155
9,-46,High (0.5-1.0),0.6709986416128191,0.18539609333541332
10,-45,Low (0-0.5),0.686362149301664,0.14024167508314966
11,-45,High (0.5-1.0),0.6743581586582268,0.19148065290059152
12,-44,Low (0-0.5),0.6900680089691636,0.1380000556037923
13,-44,High (0.5-1.0),0.6768153750039366,0.19865312758756412
14,-43,Low (0-0.5),0.6953775513539892,0.13525142972580656
15,-43,High (0.5-1.0),0.6786178029234194,0.1868799510233903
16,-42,Low (0-0.5),0.6977500481959529,0.13529922571404235
17,-42,High (0.5-1.0),0.6883885620050688,0.1556677128889373
18,-41,Low (0-0.5),0.701279506859576,0.1336409807890252
19,-41,High (0.5-1.0),0.6795138268268925,0.1596630936218534
20,-40,Low (0-0.5),0.7032817661998465,0.13364113718308432
21,-40,High (0.5-1.0),0.6836641637225394,0.15078930055636666
22,-39,Low (0-0.5),0.7084853469528952,0.12963791455108217
23,-39,High (0.5-1.0),0.6846029485890344,0.14865774476068636
24,-38,Low (0-0.5),0.7112713120847776,0.12724162595665245
25,-38,High (0.5-1.0),0.6970062559150584,0.1271035670476426
26,-37,Low (0-0.5),0.7138084660206998,0.12675383710961705
27,-37,High (0.5-1.0),0.6978229956232622,0.120241005005284
28,-36,Low (0-0.5),0.7164760531605039,0.12834524840403883
29,-36,High (0.5-1.0),0.7042025161687017,0.1140730555227984
30,-35,Low (0-0.5),0.718477101592189,0.12596613988329897
31,-35,High (0.5-1.0),0.702998791523613,0.11055283226186588
32,-34,Low (0-0.5),0.7178522290224885,0.1268650406591754
33,-34,High (0.5-1.0),0.7028844322188182,0.11020217467429738
34,-33,Low (0-0.5),0.7184476179500372,0.12892274523008368
35,-33,High (0.5-1.0),0.7095857284954332,0.11124547200238627
36,-32,Low (0-0.5),0.7216096548991368,0.12537908105090448
37,-32,High (0.5-1.0),0.7102722608031067,0.11110744794047096
38,-31,Low (0-0.5),0.7248354825020557,0.12424528852466166
39,-31,High (0.5-1.0),0.7066275986885608,0.11382948397147659
40,-30,Low (0-0.5),0.7267034211792539,0.12288664129530757
41,-30,High (0.5-1.0),0.6982524372000048,0.1264381164901167
42,-29,Low (0-0.5),0.7263844259663973,0.12516066204438725
43,-29,High (0.5-1.0),0.7060181606439989,0.1102973672200029
44,-28,Low (0-0.5),0.72826954048142,0.12375179105167095
45,-28,High (0.5-1.0),0.7112877482282726,0.10245822729611785
46,-27,Low (0-0.5),0.7299251461438142,0.1219412349173649
47,-27,High (0.5-1.0),0.7092931308786024,0.09964239388721369
48,-26,Low (0-0.5),0.732149008535584,0.11957393625651037
49,-26,High (0.5-1.0),0.7099808857657044,0.09654605483553576
50,-25,Low (0-0.5),0.7336848849832671,0.12040816478240692
51,-25,High (0.5-1.0),0.7229361113026475,0.09119821757994896
52,-24,Low (0-0.5),0.7362752784677236,0.12122995343149583
53,-24,High (0.5-1.0),0.7277281412027421,0.09725258987620339
54,-23,Low (0-0.5),0.737757570690165,0.12204257083103423
55,-23,High (0.5-1.0),0.7321683717060828,0.09656635955739279
56,-22,Low (0-0.5),0.7373192735439899,0.12781002062674118
57,-22,High (0.5-1.0),0.7394176663966604,0.10125800976335238
58,-21,Low (0-0.5),0.7403270633562677,0.1224918848165384
59,-21,High (0.5-1.0),0.7444141597228734,0.10031883211604282
60,-20,Low (0-0.5),0.7422180961070125,0.12208128693410232
61,-20,High (0.5-1.0),0.7447253608527641,0.10532613369414051
62,-19,Low (0-0.5),0.7439847687604074,0.12253271403962011
63,-19,High (0.5-1.0),0.7399950645841809,0.11693302833638175
64,-18,Low (0-0.5),0.745691503509116,0.12209683713298664
65,-18,High (0.5-1.0),0.7497627654027056,0.09847755569750158
66,-17,Low (0-0.5),0.749279695786098,0.1212137650197114
67,-17,High (0.5-1.0),0.7580839242570412,0.09716959382514052
68,-16,Low (0-0.5),0.7506609733138415,0.122125261952348
69,-16,High (0.5-1.0),0.7631304803795151,0.09049214484925819
70,-15,Low (0-0.5),0.7540773162917407,0.11942144314216066
71,-15,High (0.5-1.0),0.766729469047217,0.08959733720124426
72,-14,Low (0-0.5),0.7559392964203203,0.1194983919269475
73,-14,High (0.5-1.0),0.7676274953505593,0.08837542201517722
74,-13,Low (0-0.5),0.7591941754011448,0.11874567058784043
75,-13,High (0.5-1.0),0.7716747676260973,0.09072364897096626
76,-12,Low (0-0.5),0.7621963763098902,0.11743481594051623
77,-12,High (0.5-1.0),0.7702597067512463,0.1041921825765472
78,-11,Low (0-0.5),0.7645558685004129,0.1173866576481912
79,-11,High (0.5-1.0),0.7666775952479377,0.12805882365579524
80,-10,Low (0-0.5),0.766255645431617,0.1180745571072207
81,-10,High (0.5-1.0),0.784318958788911,0.08520732131853699
82,-9,Low (0-0.5),0.7687512465466636,0.11650875561245415
83,-9,High (0.5-1.0),0.7893307443971173,0.08205887557527589
84,-8,Low (0-0.5),0.7716943400342512,0.11635100147928525
85,-8,High (0.5-1.0),0.7949234782748106,0.08263234372815338
86,-7,Low (0-0.5),0.7741022758758707,0.11607570002520849
87,-7,High (0.5-1.0),0.8007590649878696,0.07867553662081317
88,-6,Low (0-0.5),0.7768609025795071,0.11389024196139695
89,-6,High (0.5-1.0),0.8096857665709608,0.07608595952551989
90,-5,Low (0-0.5),0.7804061376367907,0.11355010484739449
91,-5,High (0.5-1.0),0.8125286414867323,0.07199345049738747
92,-4,Low (0-0.5),0.7953238459123687,0.10840473208452565
93,-4,High (0.5-1.0),0.8294078883430536,0.07412148708989999
94,-3,Low (0-0.5),0.7959134752803099,0.10985116010581981
95,-3,High (0.5-1.0),0.8352672905354405,0.06996255580632893
96,-2,Low (0-0.5),0.7973899960691765,0.10965695277856903
97,-2,High (0.5-1.0),0.8382707451461985,0.06458977430597375
98,-1,Low (0-0.5),0.7995002485338613,0.10631288209883122
99,-1,High (0.5-1.0),0.8422196044966972,0.06076099532965764
100,0,Low (0-0.5),0.8001722325440145,0.10590734186860024
101,0,High (0.5-1.0),0.84459465829686,0.05848144189025873
102,1,Low (0-0.5),0.8020882200794854,0.10369930216315343
103,1,High (0.5-1.0),0.8432698152878096,0.060200806384897027
104,2,Low (0-0.5),0.8030037140812166,0.10053888997933463
105,2,High (0.5-1.0),0.8378283641753907,0.0621686787148486
106,3,Low (0-0.5),0.8023707755495373,0.10066092389038526
107,3,High (0.5-1.0),0.8312413718058828,0.07097948004462329
108,4,Low (0-0.5),0.8012486072300788,0.1013122664728859
109,4,High (0.5-1.0),0.8321859506345871,0.07131555700147127
110,5,Low (0-0.5),0.8003059658065326,0.10233803953152164
111,5,High (0.5-1.0),0.8319895973231858,0.07395507242707818
112,6,Low (0-0.5),0.7886147885445749,0.10285248101327747
113,6,High (0.5-1.0),0.8136198220077752,0.0734703588726495
114,7,Low (0-0.5),0.7860432024191797,0.10379775826175901
115,7,High (0.5-1.0),0.8098045418401425,0.08008404494097872
116,8,Low (0-0.5),0.7838600114360715,0.1051100433544227
117,8,High (0.5-1.0),0.8079194282592764,0.08340353772954018
118,9,Low (0-0.5),0.782483280654122,0.10560158256644403
119,9,High (0.5-1.0),0.7990255659341965,0.08894963260533593
120,10,Low (0-0.5),0.7801465995459184,0.1059859830869056
121,10,High (0.5-1.0),0.7904931639274392,0.09315138742752707
122,11,Low (0-0.5),0.7794213884901076,0.10662895049432103
123,11,High (0.5-1.0),0.7891937621873363,0.09389237147030308
124,12,Low (0-0.5),0.7770129350317652,0.10773578834191683
125,12,High (0.5-1.0),0.7893260578148177,0.09712495301037337
126,13,Low (0-0.5),0.7756472039404291,0.10537137880143528
127,13,High (0.5-1.0),0.7957800798312369,0.09019413007997673
128,14,Low (0-0.5),0.7744733939222349,0.10446611733609132
129,14,High (0.5-1.0),0.7935769397096692,0.09096341409149299
130,15,Low (0-0.5),0.7722569159766064,0.10650224197428328
131,15,High (0.5-1.0),0.7912595562709949,0.09075263572292572
132,16,Low (0-0.5),0.772924770997707,0.10385237223950684
133,16,High (0.5-1.0),0.792180031344057,0.08963364254382775
134,17,Low (0-0.5),0.7710094578535603,0.10523046742575531
135,17,High (0.5-1.0),0.7885325971525564,0.08940406301041298
136,18,Low (0-0.5),0.7716153136103353,0.10252184430123706
137,18,High (0.5-1.0),0.7902120196226993,0.08951262838173771
138,19,Low (0-0.5),0.7706731101220353,0.10029677904859104
139,19,High (0.5-1.0),0.7910868090100839,0.08976408412112309
140,20,Low (0-0.5),0.7697232624372138,0.10041265863016398
141,20,High (0.5-1.0),0.789798097081358,0.09243589220569104
142,21,Low (0-0.5),0.7700270205666876,0.09937120453211423
143,21,High (0.5-1.0),0.7901687444253961,0.09807863021527675
144,22,Low (0-0.5),0.7682111592902666,0.09891123838666796
145,22,High (0.5-1.0),0.787882928816025,0.10273737207191927
146,23,Low (0-0.5),0.7652539846817844,0.10151184437786517
147,23,High (0.5-1.0),0.7840576544883772,0.11003734803411258
148,24,Low (0-0.5),0.7621474953721855,0.10425384986593587
149,24,High (0.5-1.0),0.7812372199492491,0.11004658804827372
150,25,Low (0-0.5),0.7607889925112863,0.10314142134141617
151,25,High (0.5-1.0),0.7796703593704785,0.1080674178871533
152,26,Low (0-0.5),0.7585004225961658,0.10298430504570733
153,26,High (0.5-1.0),0.7765925565082433,0.10953056424697225
154,27,Low (0-0.5),0.7565985879501179,0.10347332979069099
155,27,High (0.5-1.0),0.7672050928134047,0.11299536558157672
156,28,Low (0-0.5),0.7541813279030168,0.10511787973749954
157,28,High (0.5-1.0),0.7599337542514248,0.11991863607347288
158,29,Low (0-0.5),0.7528080464527336,0.10681709753484085
159,29,High (0.5-1.0),0.757059447846842,0.12461071014311259
160,30,Low (0-0.5),0.7519732274458643,0.10830647708943071
161,30,High (0.5-1.0),0.7626058733828651,0.11747106766280374
162,31,Low (0-0.5),0.7506963101421302,0.10958545392663017
163,31,High (0.5-1.0),0.7635224305934034,0.10921807017483787
164,32,Low (0-0.5),0.7496953887552753,0.11060837637237808
165,32,High (0.5-1.0),0.770551194197952,0.09989778003121305
166,33,Low (0-0.5),0.748809885431434,0.11123328982480947
167,33,High (0.5-1.0),0.767772557180073,0.09689532677046306
168,34,Low (0-0.5),0.7490648352328824,0.11088926916394384
169,34,High (0.5-1.0),0.7711640142873172,0.08676120314674522
170,35,Low (0-0.5),0.7488239894889457,0.1088991086438388
171,35,High (0.5-1.0),0.773647735503421,0.08804110716616273
172,36,Low (0-0.5),0.7471549892980951,0.10900559654995755
173,36,High (0.5-1.0),0.770987751089615,0.08911725053561056
174,37,Low (0-0.5),0.7478987375738153,0.10825184767057774
175,37,High (0.5-1.0),0.7713510598728536,0.09105973404269607
176,38,Low (0-0.5),0.7439046157740551,0.10903674297141977
177,38,High (0.5-1.0),0.7741813097387552,0.09609033258109861
178,39,Low (0-0.5),0.7420901403157443,0.10932152714477336
179,39,High (0.5-1.0),0.7706842284938434,0.103160373901567
180,40,Low (0-0.5),0.7416295325378914,0.11067387198319871
181,40,High (0.5-1.0),0.7615803302552561,0.11324777278661423
182,41,Low (0-0.5),0.7401807637704721,0.11155480622616905
183,41,High (0.5-1.0),0.7634085338676603,0.11549615262716854
184,42,Low (0-0.5),0.739777600991068,0.11171557754964105
185,42,High (0.5-1.0),0.7585574983733099,0.1215948250618962
186,43,Low (0-0.5),0.7390233793834298,0.11111317119861738
187,43,High (0.5-1.0),0.7546012189876476,0.12318085195463567
188,44,Low (0-0.5),0.7379922140711881,0.1106927417385166
189,44,High (0.5-1.0),0.7505424926923948,0.125381735132191
190,45,Low (0-0.5),0.7361350465310914,0.11331160122267435
191,45,High (0.5-1.0),0.7474308887851495,0.1211760213018227
192,46,Low (0-0.5),0.7347213363433189,0.11385589395887147
193,46,High (0.5-1.0),0.7452456721973139,0.12566959662260266
194,47,Low (0-0.5),0.7334271468012546,0.1126403783825479
195,47,High (0.5-1.0),0.7450901895414476,0.12287451527498698
196,48,Low (0-0.5),0.7305849901109822,0.114111553729965
197,48,High (0.5-1.0),0.7452648530190883,0.11684915030774304
198,49,Low (0-0.5),0.7312751218320431,0.11219626783773944
199,49,High (0.5-1.0),0.7462165480528163,0.11704286333237535
200,50,Low (0-0.5),0.7297899089280947,0.11346369320720988
201,50,High (0.5-1.0),0.7460688210067906,0.11395595847673015
