,Year,Score Range,mean,std
0,-50,Low (0-0.25),0.6847579404876047,0.1391817121569028
1,-50,Mid-Low (0.25-0.5),0.6075974392780764,0.1495422070328181
2,-50,Mid-High (0.5-0.75),0.6093146707610929,0.17853934401857194
3,-50,High (0.75-1.0),0.6756741271444304,0.1370618297142668
4,-49,Low (0-0.25),0.6874730233928934,0.13898991776557834
5,-49,Mid-Low (0.25-0.5),0.6122667127614848,0.15290057949814229
6,-49,Mid-High (0.5-0.75),0.601867702155001,0.18679169879053054
7,-49,High (0.75-1.0),0.6989946216633626,0.14876188035184992
8,-48,Low (0-0.25),0.6896742633877208,0.1401095392374028
9,-48,Mid-Low (0.25-0.5),0.6214850377940837,0.14812661499181143
10,-48,Mid-High (0.5-0.75),0.6227210905706579,0.18029364678631002
11,-48,High (0.75-1.0),0.7017527989127532,0.17032305773518897
12,-47,Low (0-0.25),0.6929899165944341,0.1370700566675076
13,-47,Mid-Low (0.25-0.5),0.6201817531033629,0.1504285643071141
14,-47,Mid-High (0.5-0.75),0.6322186255463229,0.1871010381806297
15,-47,High (0.75-1.0),0.7001195644459953,0.18943525650587814
16,-46,Low (0-0.25),0.6958542442994113,0.1348114835767616
17,-46,Mid-Low (0.25-0.5),0.617258738834395,0.1612434370348479
18,-46,Mid-High (0.5-0.75),0.6375820577905701,0.1830361888267508
19,-46,High (0.75-1.0),0.7066429976898847,0.18740581547346644
20,-45,Low (0-0.25),0.6990439156191292,0.13378603854669704
21,-45,Mid-Low (0.25-0.5),0.626089668524033,0.15464913035472042
22,-45,Mid-High (0.5-0.75),0.6410908090747798,0.19948717496787782
23,-45,High (0.75-1.0),0.709843331547237,0.18252647385472875
24,-44,Low (0-0.25),0.7022248445850022,0.13226792057795658
25,-44,Mid-Low (0.25-0.5),0.6322903601282968,0.15030822304744604
26,-44,Mid-High (0.5-0.75),0.6328409892560072,0.2232253853940748
27,-44,High (0.75-1.0),0.7237213864683946,0.16311823241386936
28,-43,Low (0-0.25),0.706721652990976,0.13123048407911886
29,-43,Mid-Low (0.25-0.5),0.641340594093933,0.14166260407506295
30,-43,Mid-High (0.5-0.75),0.6374473996373362,0.20472781390220438
31,-43,High (0.75-1.0),0.7225328997619082,0.16101757809867517
32,-42,Low (0-0.25),0.7081391834009876,0.13309207466108464
33,-42,Mid-Low (0.25-0.5),0.6482620170579918,0.1354822714704267
34,-42,Mid-High (0.5-0.75),0.6555317759766623,0.15477016011369282
35,-42,High (0.75-1.0),0.7234358004353688,0.15398709132451618
36,-41,Low (0-0.25),0.7117524646167251,0.1306366511434876
37,-41,Mid-Low (0.25-0.5),0.6513921919518653,0.13720291905744747
38,-41,Mid-High (0.5-0.75),0.6460024498781921,0.1622560876855302
39,-41,High (0.75-1.0),0.715259295572173,0.15416347026186683
40,-40,Low (0-0.25),0.7141210536711982,0.12962747181578316
41,-40,Mid-Low (0.25-0.5),0.6516494613631929,0.1409613107443369
42,-40,Mid-High (0.5-0.75),0.6628245131077443,0.15490442308586427
43,-40,High (0.75-1.0),0.7058931243783206,0.14828330353785385
44,-39,Low (0-0.25),0.7182262900337641,0.12740176990480542
45,-39,Mid-Low (0.25-0.5),0.6620849406644551,0.13083118614691844
46,-39,Mid-High (0.5-0.75),0.6805296363429659,0.13663957549805808
47,-39,High (0.75-1.0),0.6889478149848406,0.1652637525103506
48,-38,Low (0-0.25),0.720875335038199,0.12605332747377984
49,-38,Mid-Low (0.25-0.5),0.6655231167260066,0.12350176644095522
50,-38,Mid-High (0.5-0.75),0.6815124803071977,0.13181537080330655
51,-38,High (0.75-1.0),0.7135329498967764,0.12423831806422089
52,-37,Low (0-0.25),0.7224929474837429,0.12661552317487926
53,-37,Mid-Low (0.25-0.5),0.6724404521698594,0.1196514060292563
54,-37,Mid-High (0.5-0.75),0.685759366039873,0.12204782568849239
55,-37,High (0.75-1.0),0.7106908671788774,0.12115210979116646
56,-36,Low (0-0.25),0.7245568979073921,0.12977385028878943
57,-36,Mid-Low (0.25-0.5),0.6779834271081223,0.11431417128705859
58,-36,Mid-High (0.5-0.75),0.6943200254884953,0.11902918071496582
59,-36,High (0.75-1.0),0.7147438395609218,0.1116855475777811
60,-35,Low (0-0.25),0.7268741903813023,0.1271327986601905
61,-35,Mid-Low (0.25-0.5),0.6784780657472733,0.11253654060920398
62,-35,Mid-High (0.5-0.75),0.6933307711348569,0.11757635116475382
63,-35,High (0.75-1.0),0.713311346604953,0.10562877197287328
64,-34,Low (0-0.25),0.7262379357377277,0.1282453905297285
65,-34,Mid-Low (0.25-0.5),0.6779074110133386,0.11236695279599133
66,-34,Mid-High (0.5-0.75),0.6922167410854178,0.1173693372446615
67,-34,High (0.75-1.0),0.7142633027611119,0.10486017378306624
68,-33,Low (0-0.25),0.7271206367178161,0.13040115514074213
69,-33,Mid-Low (0.25-0.5),0.6771342059701873,0.11345596774152583
70,-33,Mid-High (0.5-0.75),0.6985360222232363,0.11927767947543226
71,-33,High (0.75-1.0),0.7213720818524434,0.10482021032438567
72,-32,Low (0-0.25),0.7310991557394803,0.12520431921454708
73,-32,Mid-Low (0.25-0.5),0.6764069788531997,0.11662792007387228
74,-32,Mid-High (0.5-0.75),0.7018072546032329,0.12180394743060666
75,-32,High (0.75-1.0),0.7193016007496388,0.10192206038814
76,-31,Low (0-0.25),0.7342259667549316,0.12474921023894443
77,-31,Mid-Low (0.25-0.5),0.6801044661147004,0.11204749256123082
78,-31,Mid-High (0.5-0.75),0.7017941206630515,0.119119833426767
79,-31,High (0.75-1.0),0.7117833085824375,0.11183501929732154
80,-30,Low (0-0.25),0.7367826692869041,0.1223960412120839
81,-30,Mid-Low (0.25-0.5),0.6786915189030276,0.11412283422883276
82,-30,Mid-High (0.5-0.75),0.6948342692510325,0.1211328312804024
83,-30,High (0.75-1.0),0.701898483012242,0.1360446696944849
84,-29,Low (0-0.25),0.737410168829946,0.12410789641337343
85,-29,Mid-Low (0.25-0.5),0.6738639518959448,0.11714296529925193
86,-29,Mid-High (0.5-0.75),0.6906810010382904,0.12637311374517773
87,-29,High (0.75-1.0),0.7223777975567546,0.09166499451420805
88,-28,Low (0-0.25),0.7395638172074289,0.12144172233203852
89,-28,Mid-Low (0.25-0.5),0.6744699212381732,0.12108726070208925
90,-28,Mid-High (0.5-0.75),0.6940343413633704,0.12056559089623844
91,-28,High (0.75-1.0),0.7296913822175015,0.07885177670895525
92,-27,Low (0-0.25),0.7407115774843602,0.11973818834202096
93,-27,Mid-Low (0.25-0.5),0.6785446183603531,0.11983482374883918
94,-27,Mid-High (0.5-0.75),0.6942701038514736,0.1185996184567191
