,Year,Reception Class,Similarity
0,-50,No Review & No Catalogue,0.6063674979628555
1,-50,"No Review, Catalogue",0.6598758897321799
2,-50,Review & Catalogue,0.6751485135117924
3,-50,"Review, No Catalogue",0.66841566127568
4,-49,No Review & No Catalogue,0.6087485999632667
5,-49,"No Review, Catalogue",0.6610314876586854
6,-49,Review & Catalogue,0.678382415053187
7,-49,"Review, No Catalogue",0.6702346953904369
8,-48,No Review & No Catalogue,0.6120944358727785
9,-48,"No Review, Catalogue",0.6612917076514767
10,-48,Review & Catalogue,0.6789886814924518
11,-48,"Review, No Catalogue",0.6701138867857495
12,-47,No Review & No Catalogue,0.6139577734020609
13,-47,"No Review, Catalogue",0.66241203088913
14,-47,Review & Catalogue,0.6811598903500584
15,-47,"Review, No Catalogue",0.671586434075955
16,-46,No Review & No Catalogue,0.6154723203522637
17,-46,"No Review, Catalogue",0.6639807946665359
18,-46,Review & Catalogue,0.6831360174064388
19,-46,"Review, No Catalogue",0.6712741772120342
20,-45,No Review & No Catalogue,0.6209762432756772
21,-45,"No Review, Catalogue",0.6663987283040413
22,-45,Review & Catalogue,0.6838014583785652
23,-45,"Review, No Catalogue",0.6764479785306086
24,-44,No Review & No Catalogue,0.6241930762365854
25,-44,"No Review, Catalogue",0.6696500033507294
26,-44,Review & Catalogue,0.6854453126297572
27,-44,"Review, No Catalogue",0.6804880364207266
28,-43,No Review & No Catalogue,0.6259874606357072
29,-43,"No Review, Catalogue",0.673484836026842
30,-43,Review & Catalogue,0.6869338238710414
31,-43,"Review, No Catalogue",0.6810493286044408
32,-42,No Review & No Catalogue,0.6280835160846193
33,-42,"No Review, Catalogue",0.6771814088426723
34,-42,Review & Catalogue,0.6917749750547971
35,-42,"Review, No Catalogue",0.6829352053702946
36,-41,No Review & No Catalogue,0.6318979036444738
37,-41,"No Review, Catalogue",0.6810666159223778
38,-41,Review & Catalogue,0.6950401126241281
39,-41,"Review, No Catalogue",0.6858325382002124
40,-40,No Review & No Catalogue,0.6322795351792759
41,-40,"No Review, Catalogue",0.6826719155376307
42,-40,Review & Catalogue,0.6965037229935129
43,-40,"Review, No Catalogue",0.6861367338020555
44,-39,No Review & No Catalogue,0.6338974971718785
45,-39,"No Review, Catalogue",0.6849848757964024
46,-39,Review & Catalogue,0.6974135770720657
47,-39,"Review, No Catalogue",0.6908065618359869
48,-38,No Review & No Catalogue,0.6357151501668532
49,-38,"No Review, Catalogue",0.6876511046438598
50,-38,Review & Catalogue,0.6989461608833535
51,-38,"Review, No Catalogue",0.6904268736361632
52,-37,No Review & No Catalogue,0.6359685729415373
53,-37,"No Review, Catalogue",0.6912433475624081
54,-37,Review & Catalogue,0.7009054316195922
55,-37,"Review, No Catalogue",0.6907260490650423
56,-36,No Review & No Catalogue,0.6379788393529818
57,-36,"No Review, Catalogue",0.6930030164494019
58,-36,Review & Catalogue,0.7036923127498174
59,-36,"Review, No Catalogue",0.6932700332443215
60,-35,No Review & No Catalogue,0.638976573688758
61,-35,"No Review, Catalogue",0.6952902962280232
62,-35,Review & Catalogue,0.7095923064362412
63,-35,"Review, No Catalogue",0.6947669949428162
64,-34,No Review & No Catalogue,0.6391576311671338
65,-34,"No Review, Catalogue",0.6956013654095446
66,-34,Review & Catalogue,0.7143957600139925
67,-34,"Review, No Catalogue",0.6967249822459485
68,-33,No Review & No Catalogue,0.6439282090449558
69,-33,"No Review, Catalogue",0.6981818765451123
70,-33,Review & Catalogue,0.7204805916868666
71,-33,"Review, No Catalogue",0.7015829930918696
72,-32,No Review & No Catalogue,0.6429532176322705
73,-32,"No Review, Catalogue",0.6999863887137228
74,-32,Review & Catalogue,0.7226897891190032
75,-32,"Review, No Catalogue",0.7027540580926579
76,-31,No Review & No Catalogue,0.6443247389497618
77,-31,"No Review, Catalogue",0.7019761680622335
78,-31,Review & Catalogue,0.7247086769499066
79,-31,"Review, No Catalogue",0.7061410133661397
80,-30,No Review & No Catalogue,0.6464650792189827
81,-30,"No Review, Catalogue",0.7043028321109602
82,-30,Review & Catalogue,0.7289252237456717
83,-30,"Review, No Catalogue",0.7124390793257355
84,-29,No Review & No Catalogue,0.6459478253760793
85,-29,"No Review, Catalogue",0.7062976495629998
86,-29,Review & Catalogue,0.7316272544056076
